epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0346,2.59426,4.03804,2.49263,0.12751,0.16853,0.11966,0.07512,0.02238,1.86557,3.20037,1.84183,0.04146,0.00018,0.00018,0.00018
2,129.866,2.21786,3.15992,1.85439,0.09338,0.40435,0.40598,0.34955,0.12084,1.78027,2.84363,1.90132,0.03338,0.000372476,0.000372476,0.000372476
3,191.071,1.92847,2.16514,1.66856,0.0741,0.58725,0.62626,0.56048,0.26552,1.21691,1.59384,1.78669,0.025,0.000557032,0.000557032,0.000557032
4,251.127,1.5959,1.58741,1.71654,0.06155,0.63444,0.60256,0.63822,0.37781,1.07992,1.27211,1.78456,0.02129,0.000733668,0.000733668,0.000733668
5,311.245,1.58157,1.38144,1.8948,0.04933,0.63158,0.69658,0.66805,0.38287,1.10422,2.17128,1.86567,0.02111,0.000902384,0.000902384,0.000902384
6,371.596,1.54053,1.1995,1.73453,0.05439,0.64669,0.66667,0.70942,0.42235,1.07515,1.86094,1.79622,0.01978,0.00106318,0.00106318,0.00106318
7,432.095,1.51848,1.20747,1.6956,0.05773,0.64216,0.70556,0.71549,0.41115,1.08366,1.81263,1.74289,0.02105,0.00121606,0.00121606,0.00121606
8,491.674,1.33453,1.15499,1.50235,0.04647,0.71814,0.71862,0.77363,0.49249,0.96522,2.03184,1.66394,0.01964,0.00136101,0.00136101,0.00136101
9,550.036,1.26688,1.09492,1.66245,0.0423,0.73111,0.73077,0.77315,0.51198,0.90946,1.88451,1.62187,0.02092,0.00149805,0.00149805,0.00149805
10,609.248,1.33045,1.05667,1.63275,0.04729,0.7514,0.80086,0.81032,0.54881,0.89912,0.97388,1.60238,0.01977,0.00162716,0.00162716,0.00162716
11,666.368,1.22462,0.97858,1.50779,0.04423,0.78435,0.7735,0.8463,0.55092,0.89733,0.86839,1.56747,0.02182,0.001604,0.001604,0.001604
12,724.845,1.23532,1.1122,1.59743,0.04439,0.85567,0.7094,0.81202,0.54871,0.93709,0.82711,1.51712,0.02461,0.0015644,0.0015644,0.0015644
13,782.767,1.26396,0.96577,1.51447,0.0441,0.79356,0.75565,0.8247,0.55962,0.92401,0.8113,1.48564,0.02533,0.0015248,0.0015248,0.0015248
14,840.301,1.24366,0.98158,1.61972,0.04755,0.74929,0.81742,0.85436,0.5849,0.85779,0.77462,1.51269,0.02076,0.0014852,0.0014852,0.0014852
15,900.476,1.17015,0.88888,1.48032,0.03544,0.75663,0.82906,0.86056,0.60002,0.83051,0.74737,1.51714,0.01922,0.0014456,0.0014456,0.0014456
16,958.586,1.16022,0.893,1.58999,0.04417,0.78134,0.82459,0.86005,0.60003,0.81039,0.77206,1.51394,0.01832,0.001406,0.001406,0.001406
17,1015.95,1.16487,0.9068,1.56576,0.0387,0.79197,0.81347,0.86154,0.609,0.79907,0.79144,1.51104,0.01738,0.0013664,0.0013664,0.0013664
18,1073.72,1.15668,0.88706,1.52393,0.04229,0.83577,0.79915,0.86982,0.60444,0.83421,0.78597,1.49408,0.01838,0.0013268,0.0013268,0.0013268
19,1131.6,1.13932,0.85595,1.46312,0.04128,0.80358,0.8392,0.87337,0.60642,0.8436,0.77646,1.48047,0.01901,0.0012872,0.0012872,0.0012872
20,1189.69,1.10352,0.8231,1.51911,0.03503,0.80655,0.83761,0.87857,0.63111,0.81703,0.74291,1.4684,0.01766,0.0012476,0.0012476,0.0012476
21,1249.58,1.16078,0.92337,1.52106,0.04052,0.79849,0.84668,0.87996,0.63035,0.80952,0.71369,1.47025,0.01744,0.001208,0.001208,0.001208
22,1306.41,1.07196,0.84854,1.55173,0.03729,0.7843,0.86325,0.87709,0.61534,0.84853,0.71359,1.47557,0.01692,0.0011684,0.0011684,0.0011684
23,1363.96,1.12388,1.34288,1.58473,0.03918,0.81818,0.81197,0.87322,0.62042,0.86305,0.71476,1.48717,0.0165,0.0011288,0.0011288,0.0011288
24,1422.74,1.05971,0.78497,1.47621,0.03928,0.82351,0.82479,0.87419,0.61156,0.86786,0.73251,1.48823,0.01682,0.0010892,0.0010892,0.0010892
25,1481.5,1.13173,0.81497,1.53077,0.03991,0.81652,0.82051,0.86988,0.60627,0.85795,0.74055,1.48604,0.01708,0.0010496,0.0010496,0.0010496
26,1538.77,1.03652,0.77934,1.51002,0.03967,0.8265,0.82906,0.88532,0.61424,0.8574,0.71679,1.48392,0.01772,0.00101,0.00101,0.00101
27,1596.98,1.07185,0.81837,1.44921,0.03366,0.83148,0.83333,0.87705,0.61678,0.87471,0.70338,1.49743,0.01846,0.0009704,0.0009704,0.0009704
28,1655.07,1.00001,0.76278,1.45538,0.02707,0.82355,0.8377,0.87855,0.6181,0.86704,0.69595,1.49325,0.01879,0.0009308,0.0009308,0.0009308
29,1723.03,1.10764,0.76745,1.42977,0.03748,0.81572,0.86325,0.87532,0.62583,0.82854,0.68628,1.47406,0.0183,0.0008912,0.0008912,0.0008912
30,1785.15,1.09853,0.7964,1.49074,0.03597,0.84433,0.85761,0.88271,0.62386,0.79527,0.68182,1.45345,0.01708,0.0008516,0.0008516,0.0008516
