epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7742,2.58123,4.0352,2.49199,0.12717,0.16576,0.12393,0.07615,0.02291,1.89149,3.21471,1.84894,0.04577,0.00018,0.00018,0.00018
2,166.635,2.21685,3.15768,1.85646,0.09605,0.40631,0.4188,0.34718,0.12039,1.77176,2.77398,1.87609,0.04075,0.000372476,0.000372476,0.000372476
3,265.263,1.92557,2.15534,1.67271,0.07496,0.5675,0.61538,0.54551,0.26566,1.22548,1.57519,1.77294,0.0271,0.000557032,0.000557032,0.000557032
4,420.531,1.59944,1.58532,1.7257,0.0614,0.59622,0.63733,0.64065,0.38151,1.05932,1.24594,1.7832,0.02283,0.000733668,0.000733668,0.000733668
5,576.495,1.57376,1.38584,1.89871,0.04955,0.62199,0.42735,0.41511,0.23256,1.07428,2.07688,1.83755,0.02386,0.000902384,0.000902384,0.000902384
6,699.444,1.533,1.208,1.74527,0.05709,0.6709,0.65339,0.69413,0.41605,1.03549,1.8025,1.76437,0.02463,0.00106318,0.00106318,0.00106318
7,806.612,1.52976,1.20336,1.71901,0.05679,0.67228,0.52564,0.54122,0.31059,1.04757,1.79535,1.72474,0.02746,0.00121606,0.00121606,0.00121606
8,935.733,1.33839,1.14661,1.50961,0.04836,0.7182,0.45299,0.46633,0.30735,0.94541,1.9775,1.66405,0.02452,0.00136101,0.00136101,0.00136101
9,1044.24,1.26368,1.08997,1.67609,0.04281,0.72749,0.6617,0.68426,0.45221,0.89095,1.86406,1.62457,0.02501,0.00149805,0.00149805,0.00149805
10,1148.08,1.33855,1.059,1.64606,0.05029,0.76891,0.78205,0.83601,0.55855,0.88974,0.9836,1.60091,0.02478,0.00162716,0.00162716,0.00162716
11,1217.78,1.22702,0.98421,1.51194,0.0461,0.8532,0.72028,0.84313,0.555,0.88961,0.87688,1.56802,0.02615,0.001604,0.001604,0.001604
12,1280.84,1.24194,1.1021,1.59818,0.04797,0.85038,0.72865,0.82724,0.56041,0.9262,0.83988,1.51838,0.02858,0.0015644,0.0015644,0.0015644
13,1343.78,1.26575,0.96801,1.52199,0.04902,0.7993,0.78291,0.8306,0.55855,0.91934,0.81138,1.48612,0.02835,0.0015248,0.0015248,0.0015248
